unit,sector,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
MIO_EUR,S1,B5GQ,SE	445577.4 	448852.1 	437129.2 	417048.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,SI	37245.0 	35706.5 	35733.0 	36603.0 	35867.8 	35672.7 	37033.8 	34515.8 	31314.8 	29096.1 	27480.3 	26116.8 	24927.7 	23322.7 	21966.1 	21295.4 	19836.6 	18399.2 	17070.1 	16451.5 
MIO_EUR,S1,B5GQ,SK	73117.9 	72524.5 	70908.4 	67908.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,UK	2212240.1 	2023076.6 	2054969.4 	1889623.0 	1836871.7 	1673622.2 	1915071.3 	2192930.4 	2087553.7 	1993350.4 	1883992.0 	1749675.6 	1812831.8 	1733929.9 	1697886.7 	1467894.8 	1390681.5 	1276835.9 	1028355.3 	945270.9 
MIO_EUR,S13,AF_81L,AT	4648.9 	4410.9 	4551.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,BE	3749.8 	3945.2 	4129.3 	3173.8 	2703.5 	2836.3 	1965.7 	1666.7 	1510.3 	1509.2 	1777.6 	1434.6 	1458.3 	1789.8 	1947.8 	1616.8 	1327.3 	1382.6 	1884.6 	1241.5 
MIO_EUR,S13,AF_81L,BG	626.9 	684.1 	691.3 	678.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,CY	7.6 	9.6 	18.5 	7.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,CZ	2541.2 	2838.8 	3145.8 	3197.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,DE	27107.5 	26784.7 	26871.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,DK	3249.5 	3172.7 	1998.1 	2578.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EA17	149131.0 	164104.1 	172499.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EA18	149351.4 	164310.3 	172712.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EA19	149625.5 	164667.1 	172985.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EE	193.8 	189.0 	198.9 	193.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EL	2036.0 	2415.0 	4793.0 	4582.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,ES	15382.0 	21710.0 	21331.0 	34958.0 	30244.0 	32089.0 	32909.0 	29306.0 	27477.0 	21501.0 	18333.0 	17323.0 	16660.0 	14681.0 	15000.0 	14100.0 	13902.3 	11865.6 	11780.2 	12307.5 
MIO_EUR,S13,AF_81L,EU25	188268.6 	202587.6 	210666.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EU27	190867.9 	206343.9 	215335.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,EU28	191706.8 	207312.0 	216420.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,FI	3784.0 	3989.0 	3903.0 	3843.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,FR	28797.0 	28949.0 	27538.0 	24584.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,HR	838.9 	968.1 	1085.5 	1005.7 	939.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,HU	1767.6 	1640.8 	1527.6 	1432.2 	1381.9 	1336.7 	1047.8 	1139.4 	1134.9 	938.4 	833.1 	720.8 	555.5 	489.9 	274.9 	244.7 	217.2 	164.8 	104.6 	175.6 
MIO_EUR,S13,AF_81L,IE	3628.2 	2992.5 	3649.5 	3024.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,IT	48437.3 	56307.5 	62520.5 	68829.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,LT	274.1 	356.8 	272.5 	320.7 	294.1 	389.2 	313.2 	79.1 	120.6 	107.0 	122.4 	106.7 	122.2 	125.5 	104.7 	108.3 	97.2 	96.7 	106.3 	69.0 
MIO_EUR,S13,AF_81L,LU	226.6 	191.4 	216.7 	193.7 	169.3 	171.4 	154.1 	129.5 	166.2 	200.8 	195.2 	129.9 	145.3 	99.4 	77.7 	70.2 	59.6 	63.1 	53.5 	42.0 
MIO_EUR,S13,AF_81L,LV	220.3 	206.2 	213.2 	212.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,MT	112.8 	109.5 	105.6 	82.5 	63.3 	68.6 	96.4 	23.9 	19.5 	17.2 	22.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,NL	5623.0 	5436.0 	5464.0 	5880.0 	6007.0 	6122.0 	6085.0 	5681.0 	5388.0 	5159.0 	4887.0 	5018.0 	4758.0 	4335.0 	3629.0 	3383.0 	3115.4 	2954.5 	3004.2 	2847.4 
MIO_EUR,S13,AF_81L,PL	3403.9 	3240.5 	3076.4 	3123.1 	2759.9 	2458.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,PT	3437.9 	4604.0 	5449.3 	6218.2 	5613.5 	4366.6 	2790.2 	3023.7 	2998.7 	2200.5 	3756.8 	3398.7 	2068.7 	74.8 	66.3 	69.4 	37.7 	37.8 	47.8 	94.0 
MIO_EUR,S13,AF_81L,RO	1972.5 	3072.1 	3977.4 	4399.1 	3994.4 	4242.7 	3513.0 	2760.9 	947.7 	157.9 	215.8 	90.1 	41.6 	38.8 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,SE	6780.8 	7137.5 	7271.7 	6526.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,SI	841.7 	851.2 	736.6 	721.9 	1038.3 	1041.3 	1002.6 	813.5 	601.5 	577.5 	491.1 	373.9 	414.5 	377.2 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,SK	1116.9 	1209.5 	1022.8 	1015.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S13,AF_81L,UK	20900.1 	19890.3 	20661.8 	18364.3 	22462.2 	23566.1 	27123.6 	12487.9 	12553.4 	12462.7 	12521.7 	11481.4 	12634.6 	12776.0 	13035.7 	12060.9 	11745.4 	11476.2 	2457.6 	2413.2 
MIO_EUR,S13,B9,AT	-8886.0 	-4158.4 	-6879.0 	-7892.8 	-13104.4 	-15217.7 	-4228.6 	-3717.1 	-6658.4 	-6351.3 	-11534.5 	-4078.7 	-3043.4 	-1356.3 	-4367.5 	-5282.5 	-5298.8 	-4477.8 	-8128.9 	-11306.4 
MIO_EUR,S13,B9,BE	-12461.7 	-11425.9 	-16075.9 	-15556.2 	-14493.8 	-18784.2 	-3890.6 	205.3 	961.0 	-8012.0 	-472.9 	-4977.4 	124.6 	457.4 	-186.3 	-1345.1 	-2207.4 	-4778.9 	-8713.3 	-9844.2 
MIO_EUR,S13,B9,BG	-2467.6 	-327.3 	-259.9 	-812.8 	-1190.3 	-1513.8 	591.4 	357.2 	495.7 	242.4 	378.9 	-73.4 	-202.6 	166.5 	-75.9 	11.9 	144.9 	76.5 	: 	: 
